match_id,season,team1,team2,toss_winner,toss_decision,winner,rcb_won,opposition,rcb_batting_first,virat_runs,virat_balls,virat_out_over,virat_dismissed,virat_strike_rate,virat_run_category
1,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,0,Sunrisers Hyderabad,0,0.0,0.0,25.0,0.0,0.0,0-10
5,2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,Delhi Daredevils,1,0.0,0.0,25.0,0.0,0.0,0-10
8,2017,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,0,Kings XI Punjab,1,0.0,0.0,25.0,0.0,0.0,0-10
12,2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,Mumbai Indians,1,62.0,48.0,16.0,1.0,129.17,50+
17,2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,0,Rising Pune Supergiant,0,28.0,19.0,6.0,1.0,147.37,11-30
20,2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,1,Gujarat Lions,1,64.0,51.0,16.0,1.0,125.49,50+
27,2017,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,0,Kolkata Knight Riders,0,0.0,1.0,1.0,1.0,0.0,0-10
30,2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,Gujarat Lions,1,10.0,14.0,4.0,1.0,71.43,0-10
33,2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,0,Rising Pune Supergiant,0,55.0,48.0,18.0,1.0,114.58,50+
37,2017,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,0,Mumbai Indians,1,20.0,15.0,6.0,1.0,133.33,11-30
42,2017,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,0,Kings XI Punjab,0,6.0,6.0,3.0,1.0,100.0,0-10
45,2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,Kolkata Knight Riders,1,5.0,9.0,3.0,1.0,55.56,0-10
55,2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,Delhi Daredevils,1,58.0,46.0,17.0,1.0,126.09,50+
60,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,0,Kolkata Knight Riders,0,1.0,5.0,3.0,1.0,20.0,0-10
63,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,1,Mumbai Indians,0,23.0,15.0,14.0,1.0,153.33,11-30
70,2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,Rajasthan Royals,1,13.0,16.0,10.0,1.0,81.25,11-30
74,2008,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,0,Chennai Super Kings,0,12.0,7.0,18.0,1.0,171.43,11-30
76,2008,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,0,Delhi Daredevils,0,1.0,1.0,25.0,0.0,100.0,0-10
80,2008,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore,1,Deccan Chargers,0,9.0,5.0,18.0,1.0,180.0,0-10
84,2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,Kings XI Punjab,1,34.0,39.0,13.0,1.0,87.18,31-50
88,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,Kolkata Knight Riders,0,0.0,0.0,25.0,0.0,0.0,0-10
90,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,Mumbai Indians,1,0.0,1.0,13.0,1.0,0.0,0-10
94,2008,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,0,Kings XI Punjab,1,21.0,23.0,6.0,1.0,91.3,11-30
101,2008,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,0,Rajasthan Royals,0,3.0,8.0,3.0,1.0,37.5,0-10
104,2008,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,Delhi Daredevils,1,0.0,0.0,25.0,0.0,0.0,0-10
107,2008,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,Chennai Super Kings,1,10.0,17.0,9.0,1.0,58.82,0-10
111,2008,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore,1,Deccan Chargers,1,38.0,31.0,14.0,1.0,122.58,31-50
119,2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,Rajasthan Royals,1,3.0,8.0,12.0,1.0,37.5,0-10
122,2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,0,Chennai Super Kings,0,11.0,14.0,11.0,1.0,78.57,11-30
124,2009,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Deccan Chargers,0,Deccan Chargers,0,50.0,35.0,20.0,1.0,142.86,31-50
127,2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,0,Kings XI Punjab,1,2.0,3.0,18.0,1.0,66.67,0-10
129,2009,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Delhi Daredevils,0,Delhi Daredevils,1,22.0,24.0,20.0,1.0,91.67,11-30
134,2009,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,1,Kolkata Knight Riders,0,19.0,12.0,16.0,1.0,158.33,11-30
139,2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,Kings XI Punjab,1,16.0,14.0,19.0,1.0,114.29,11-30
143,2009,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,1,Mumbai Indians,0,0.0,0.0,25.0,0.0,0.0,0-10
148,2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,Rajasthan Royals,1,15.0,22.0,15.0,1.0,68.18,11-30
153,2009,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,0,Mumbai Indians,0,20.0,24.0,7.0,1.0,83.33,11-30
156,2009,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Kolkata Knight Riders,0,0.0,0.0,25.0,0.0,0.0,0-10
159,2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore,1,Chennai Super Kings,0,38.0,35.0,15.0,1.0,108.57,31-50
