match_id,season,team1,team2,toss_winner,toss_decision,winner,rcb_won,opposition,rcb_batting_first,virat_runs,virat_balls,virat_out_over,virat_dismissed,virat_strike_rate,virat_run_category
304,2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,Chennai Super Kings,1,70.0,46.0,25.0,0.0,152.17,50+
306,2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,1,Mumbai Indians,1,8.0,12.0,16.0,1.0,66.67,0-10
307,2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,0,Chennai Super Kings,0,35.0,32.0,10.0,1.0,109.38,31-50
312,2012,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,1,Delhi Daredevils,1,8.0,8.0,8.0,1.0,100.0,0-10
317,2012,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,0,Kolkata Knight Riders,0,6.0,14.0,6.0,1.0,42.86,0-10
320,2012,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,0,Chennai Super Kings,1,57.0,48.0,20.0,1.0,118.75,50+
326,2012,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,0,Rajasthan Royals,0,22.0,18.0,11.0,1.0,122.22,11-30
329,2012,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,Royal Challengers Bangalore,1,Pune Warriors,0,16.0,19.0,12.0,1.0,84.21,11-30
333,2012,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Kings XI Punjab,0,4.0,4.0,2.0,1.0,100.0,0-10
338,2012,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,1,Rajasthan Royals,1,16.0,16.0,4.0,1.0,100.0,11-30
344,2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,Kolkata Knight Riders,0,18.0,19.0,6.0,1.0,94.74,11-30
350,2012,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,Kings XI Punjab,1,45.0,42.0,17.0,1.0,107.14,31-50
356,2012,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Deccan Chargers,0,9.0,9.0,14.0,1.0,100.0,0-10
360,2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Mumbai Indians,0,36.0,27.0,25.0,0.0,133.33,31-50
362,2012,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore,1,Pune Warriors,1,9.0,12.0,12.0,1.0,75.0,0-10
367,2012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,Mumbai Indians,1,3.0,1.0,25.0,0.0,300.0,0-10
372,2012,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,1,Delhi Daredevils,1,73.0,55.0,25.0,0.0,132.73,50+
376,2012,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,0,Deccan Chargers,0,42.0,41.0,16.0,1.0,102.44,31-50
383,2013,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,1,Mumbai Indians,1,24.0,14.0,5.0,1.0,171.43,11-30
388,2013,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,0,Sunrisers Hyderabad,1,51.0,47.0,14.0,1.0,108.51,50+
392,2013,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Kolkata Knight Riders,0,35.0,28.0,10.0,1.0,125.0,31-50
396,2013,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,Chennai Super Kings,1,58.0,48.0,17.0,1.0,120.83,50+
401,2013,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Delhi Daredevils,0,65.0,51.0,19.0,1.0,127.45,50+
407,2013,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Rajasthan Royals,0,1.0,5.0,8.0,1.0,20.0,0-10
411,2013,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore,1,Pune Warriors,1,11.0,9.0,25.0,0.0,122.22,11-30
417,2013,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,0,Mumbai Indians,0,1.0,4.0,8.0,1.0,25.0,0-10
420,2013,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,Rajasthan Royals,1,32.0,35.0,16.0,1.0,91.43,31-50
426,2013,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,Pune Warriors,1,25.0,18.0,13.0,1.0,138.89,11-30
429,2013,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,Kings XI Punjab,1,57.0,43.0,20.0,1.0,132.56,50+
432,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,1,Sunrisers Hyderabad,0,93.0,51.0,25.0,0.0,182.35,50+
438,2013,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,1,Delhi Daredevils,1,99.0,59.0,25.0,0.0,167.8,50+
441,2013,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,Kolkata Knight Riders,1,17.0,14.0,9.0,1.0,121.43,11-30
448,2013,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,Kings XI Punjab,1,14.0,16.0,17.0,1.0,87.5,11-30
452,2013,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,1,Chennai Super Kings,1,56.0,29.0,25.0,0.0,193.1,50+
459,2014,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Delhi Daredevils,0,49.0,38.0,25.0,0.0,128.95,31-50
462,2014,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Mumbai Indians,0,0.0,2.0,4.0,1.0,0.0,0-10
468,2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,0,Kolkata Knight Riders,0,31.0,23.0,16.0,1.0,134.78,31-50
471,2014,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,Rajasthan Royals,1,21.0,25.0,11.0,1.0,84.0,11-30
475,2014,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,Kings XI Punjab,1,4.0,2.0,2.0,1.0,200.0,0-10
481,2014,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Sunrisers Hyderabad,0,0.0,6.0,2.0,1.0,0.0,0-10
484,2014,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,0,Mumbai Indians,0,35.0,28.0,14.0,1.0,125.0,31-50
488,2014,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,0,Kings XI Punjab,0,0.0,1.0,3.0,1.0,0.0,0-10
492,2014,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Rajasthan Royals,0,Rajasthan Royals,1,4.0,9.0,3.0,1.0,44.44,0-10
495,2014,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,1,Delhi Daredevils,1,10.0,11.0,25.0,0.0,90.91,0-10
499,2014,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore,1,Chennai Super Kings,0,27.0,29.0,15.0,1.0,93.1,11-30
503,2014,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,0,Sunrisers Hyderabad,1,67.0,43.0,18.0,1.0,155.81,50+
506,2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,0,Kolkata Knight Riders,0,38.0,31.0,13.0,1.0,122.58,31-50
510,2014,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,Chennai Super Kings,1,73.0,53.0,20.0,1.0,137.74,50+
522,2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Kolkata Knight Riders,0,13.0,15.0,5.0,1.0,86.67,11-30
525,2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,Sunrisers Hyderabad,1,41.0,42.0,12.0,1.0,97.62,31-50
534,2015,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,0,Mumbai Indians,0,18.0,19.0,11.0,1.0,94.74,11-30
538,2015,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings,0,Chennai Super Kings,0,51.0,43.0,17.0,1.0,118.6,50+
540,2015,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Rajasthan Royals,0,62.0,46.0,25.0,0.0,134.78,50+
543,2015,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Delhi Daredevils,0,35.0,23.0,25.0,0.0,152.17,31-50
546,2015,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,,0,Rajasthan Royals,1,1.0,4.0,3.0,1.0,25.0,0-10
550,2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Kolkata Knight Riders,0,34.0,20.0,8.0,1.0,170.0,31-50
554,2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,0,Chennai Super Kings,0,48.0,44.0,25.0,0.0,109.09,31-50
557,2015,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,1,Kings XI Punjab,1,32.0,31.0,12.0,1.0,103.23,31-50
562,2015,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,Mumbai Indians,1,82.0,51.0,25.0,0.0,160.78,50+
566,2015,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,0,Kings XI Punjab,0,19.0,9.0,3.0,1.0,211.11,11-30
568,2015,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,1,Sunrisers Hyderabad,0,44.0,19.0,25.0,0.0,231.58,31-50
571,2015,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,0,Delhi Daredevils,0,1.0,2.0,25.0,0.0,50.0,0-10
574,2015,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,Rajasthan Royals,1,12.0,18.0,8.0,1.0,66.67,11-30
575,2015,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,Chennai Super Kings,1,12.0,9.0,5.0,1.0,133.33,11-30
580,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,1,Sunrisers Hyderabad,1,75.0,51.0,16.0,1.0,147.06,50+
587,2016,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,Delhi Daredevils,1,79.0,48.0,19.0,1.0,164.58,50+
590,2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,Mumbai Indians,1,33.0,34.0,11.0,1.0,97.06,31-50
592,2016,Royal Challengers Bangalore,Rising Pune Supergiants,Rising Pune Supergiants,field,Royal Challengers Bangalore,1,Rising Pune Supergiants,1,80.0,70.0,20.0,1.0,114.29,50+
595,2016,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,bat,Gujarat Lions,0,Gujarat Lions,1,100.0,64.0,25.0,0.0,156.25,50+
603,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,0,Sunrisers Hyderabad,0,14.0,17.0,6.0,1.0,82.35,11-30
606,2016,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,Kolkata Knight Riders,1,52.0,44.0,17.0,1.0,118.18,50+
611,2016,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Rising Pune Supergiants,0,108.0,58.0,25.0,0.0,186.21,50+
615,2016,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,1,Kings XI Punjab,1,20.0,21.0,8.0,1.0,95.24,11-30
617,2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,Mumbai Indians,1,7.0,8.0,2.0,1.0,87.5,0-10
620,2016,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,1,Gujarat Lions,1,109.0,55.0,20.0,1.0,198.18,50+
624,2016,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Kolkata Knight Riders,0,75.0,51.0,25.0,0.0,147.06,50+
626,2016,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,1,Kings XI Punjab,1,113.0,51.0,14.0,1.0,221.57,50+
632,2016,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Delhi Daredevils,0,54.0,45.0,25.0,0.0,120.0,50+
633,2016,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Gujarat Lions,0,0.0,2.0,2.0,1.0,0.0,0-10
636,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,Sunrisers Hyderabad,0,54.0,36.0,13.0,1.0,150.0,50+
7896,2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,Kolkata Knight Riders,1,31.0,33.0,15.0,1.0,93.94,31-50
7901,2018,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Kings XI Punjab,0,21.0,16.0,5.0,1.0,131.25,11-30
7904,2018,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,0,Rajasthan Royals,0,58.0,31.0,11.0,1.0,187.1,50+
7907,2018,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,0,Mumbai Indians,0,93.0,62.0,25.0,0.0,150.0,50+
7912,2018,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Delhi Daredevils,0,30.0,26.0,11.0,1.0,115.38,11-30
7917,2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,Chennai Super Kings,1,18.0,15.0,5.0,1.0,120.0,11-30
7922,2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,Kolkata Knight Riders,1,69.0,44.0,25.0,0.0,156.82,50+
7924,2018,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,1,Mumbai Indians,1,32.0,26.0,18.0,1.0,123.08,31-50
7928,2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,Chennai Super Kings,1,9.0,11.0,7.0,1.0,81.82,0-10
7932,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,0,Sunrisers Hyderabad,0,39.0,30.0,10.0,1.0,130.0,31-50
7938,2018,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Delhi Daredevils,0,72.0,42.0,14.0,1.0,171.43,50+
7941,2018,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Kings XI Punjab,0,51.0,29.0,25.0,0.0,175.86,50+
7944,2018,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,1,Sunrisers Hyderabad,1,12.0,11.0,5.0,1.0,109.09,11-30
